,x,y,cell_id,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10
0,0.5745071229516849,0.43048734607813066,1,-74.02583157257617,-85.56196561986654,-92.13217068409266,-95.4070553780863,-89.4043022063577,-93.64359303019116,-94.4146724918642,-93.0942171277544,-96.60109165192243,-97.14326628548301,-101.98168847461831
1,0.4792603548243223,0.4301405369644615,1,-75.90387152576525,-84.9310848988371,-97.32701769369285,-101.9524110992074,-90.09466380364778,-95.25749022282119,-96.9919330363163,-96.44332463608458,-98.51163710596622,-95.33105153138371,-101.53909969600893
2,0.5971532807151039,0.5362943407349051,1,-74.53230640039807,-88.03498229969078,-94.48035367501346,-98.21120759847483,-91.11592536236743,-92.35292015042663,-98.73475730329638,-95.13719625632804,-96.79547469608512,-94.47328937663316,-101.04711919928624
3,0.7284544784612038,0.21300796330133032,1,-77.93890339506589,-83.57920622906482,-95.791037630454,-97.97304391288404,-93.03579233889089,-95.8605973112167,-97.16217308452548,-93.31059189647594,-95.41189068358834,-98.49297622872301,-101.66026169810388
4,0.4648769937914996,0.24126232512304507,1,-78.55535782819057,-86.99700576174824,-94.46656023091043,-96.41098467645013,-88.48799152790399,-96.86808448437,-97.02987957150515,-95.53143752414522,-97.15801405545157,-97.11933230036617,-99.07838184907102
5,0.4648794564576229,0.4156568706138541,1,-73.152955638366,-87.12216566526635,-94.13238703064908,-97.84863513899337,-87.03959063213283,-94.20646741946321,-98.00272147717916,-96.8500158704272,-98.09191282342857,-96.64817833836703,-98.3836555296786
6,0.7368819223261087,0.3480753319498364,1,-75.53710646658867,-83.11182924728594,-92.59422523678619,-99.66533034346308,-88.24638850725925,-90.0486394090381,-97.58638145903714,-91.5628666203867,-100.91020662372378,-96.56032348564001,-100.84628648059764
7,0.6151152093729363,0.547137099889291,1,-75.23847170510678,-84.97010540151015,-97.35100367134517,-98.86219535816824,-88.08159269101019,-90.13189118147449,-98.55814923283867,-96.16345227957784,-96.58430406932065,-96.33626139919906,-100.35367701360609
8,0.42957884210975716,0.3637963886718184,1,-76.23650340347818,-84.49791781840892,-93.35580565866445,-96.5962347095745,-90.46250376326394,-93.9520894982965,-98.44686457597652,-97.60071470919797,-95.14761394067276,-97.78427215769912,-101.1110926357548
9,0.5813840065378947,0.2881544447997063,1,-75.9674502546148,-88.20137287875666,-94.28929616558824,-99.14646650063088,-90.69010445145601,-93.57127351447036,-96.79994110385552,-90.95815896805853,-95.39715675493932,-97.76791754986651,-101.23771239638101
