,x,y,cell_id,rssi_0,rssi_1,rssi_2,rssi_3,rssi_4,rssi_5,rssi_6,rssi_7,rssi_8,rssi_9,rssi_10
0,0.6562641852329568,0.6668603584206696,1,-73.49817370943276,-84.763335960106,-92.26916077739308,-99.13381540162656,-85.14959150934284,-92.23955322335046,-97.0948676888528,-93.10041848106312,-97.9458998878107,-95.64379936248318,-101.93365502688494
1,0.9549013769132275,0.3339018412812643,1,-77.8315856312262,-81.9729846460574,-94.22048483838432,-100.08601638527875,-90.7413548605515,-96.66259676330093,-99.39679088429526,-97.26047587229384,-97.97424376443338,-99.74494582564989,-99.46949267648364
2,0.9708760349938164,0.18291099480054362,1,-76.68589551224376,-84.73999374202181,-91.97093287877007,-98.50125009922341,-89.53209885948944,-89.917958672209,-100.12346387498971,-96.47964483352978,-94.81451272725927,-100.21847286771587,-98.90665914605871
3,0.09783217731538718,0.3624615314717591,1,-73.46244511256174,-85.62064844974044,-92.5430439999938,-100.65084808904133,-87.86271151694598,-92.85006522975675,-97.13137438003045,-94.94332985306488,-93.02399851205088,-101.22886129170794,-102.17225375236447
4,0.24074491578118096,0.4018560887375907,1,-77.17330246431304,-87.64243419821699,-94.45565804448752,-99.84184950317983,-89.2146114702388,-94.63706259829769,-93.83530596272729,-97.60558599318935,-96.38851423879044,-93.4452387315182,-100.15632907663581
5,0.8686419869137904,0.7619108602249823,1,-76.3931348338919,-83.29301307184596,-97.25915692611429,-97.0193933760472,-91.3901226517569,-92.91958256592581,-99.20847802489514,-94.90724734205112,-95.41559254128474,-99.06351916385944,-100.89063046347722
6,0.5474529344525135,0.2667350228019857,1,-75.65165896191655,-82.79282308570768,-92.7557740177305,-97.77987251175797,-88.97538207697667,-91.72895035429947,-97.51284919760234,-92.9072630685615,-96.04778032861007,-98.98009691748271,-101.49509551446211
7,0.7191532979287579,0.26709552342625076,1,-74.221739954807,-86.24038484257156,-91.35043075923089,-95.1624448755331,-94.3298719690016,-91.29270009762187,-94.8876283265658,-96.27226166689562,-98.68011811709232,-98.5542984085683,-96.40822248681098
8,0.9256836804906519,0.9760769696440944,1,-73.40516595208945,-83.82871101224069,-92.4664467597144,-99.18602202391466,-85.68975030649648,-91.60516707100236,-96.56795574672874,-92.62353375572253,-90.97537125331888,-97.98281602307289,-100.88487054420115
9,0.6170386171115465,0.062249538386028425,1,-75.5544564042819,-84.7171305735687,-94.8460992584374,-101.75084401188202,-89.19773359250554,-90.7987922420477,-98.20585920134312,-94.14587046131359,-97.00022861955085,-93.36938453996672,-98.80485241704405
10,0.41920993231920956,1.6539103389841316,2,-69.21727239207863,-83.11450696104757,-94.89858742931905,-94.25734949903601,-83.73281944943437,-93.20027061614327,-98.21474883829207,-92.18416172174253,-94.33004722803898,-95.74607150954216,-100.74000919754175
11,0.3512498232602135,1.0220166909109238,2,-72.52933201341497,-81.48358914840426,-95.0296086760189,-98.39944782940766,-88.90599496073477,-94.61293780245109,-95.93493098568511,-95.87875111199864,-92.94662990069585,-98.41813601670248,-101.43277197086519
12,0.08948537224711073,1.1920387734871811,2,-71.26734132075953,-87.8270135610181,-92.50998048035368,-98.12126380661014,-91.2409701083186,-93.90466506583415,-99.2691448370915,-96.19805006614845,-93.18571022162858,-99.0758772354225,-103.39141900900428
13,0.19735789143530158,1.9524818948675517,2,-68.861392838266,-84.78430321052541,-87.92307780112245,-97.67409750403418,-90.00740907085788,-92.49041491145175,-98.24493816987356,-93.65552157296663,-92.27807834291457,-99.59962467197118,-101.92985522407938
14,0.9408581044454848,1.7507032123611155,2,-70.03353658299685,-87.01457943029754,-98.54642932186528,-97.83231259837558,-85.84929740185574,-92.05342936031103,-94.49652476079214,-96.23209118604078,-97.60285827260671,-97.15767138263963,-100.2155369848297
15,0.010565432184878931,1.2269519132852693,2,-72.91564903731887,-83.67578510760366,-96.8435100380183,-98.64609256944847,-84.31583068588102,-89.2732970846697,-98.38951177200454,-95.11347959496032,-97.14618171378521,-96.61992837237835,-99.00898790998116
16,0.18610586053639722,1.6378925325389375,2,-69.85311728662948,-84.28706688800774,-95.68911378000715,-100.26872214653709,-90.39975030873715,-91.72115786400963,-94.32789371322855,-97.19573198608809,-96.01609181993344,-98.8760009259568,-101.26513396469745
17,0.9854878574645713,1.0319480627110151,2,-70.96259971026711,-84.09049904497947,-95.99939822991227,-99.92682715284657,-88.59403599708091,-93.78896014025436,-95.92405276996102,-95.88315884575381,-95.56755578832711,-98.77718907411219,-98.6602904629577
18,0.3402513301691391,1.4122072154787186,2,-67.52786369298406,-85.83212070168508,-93.28210136841997,-99.5377858760066,-87.39755036210909,-94.42293184768234,-96.41484545231891,-93.7144947162793,-90.46901619603263,-94.51515538612313,-102.76786068701489
19,0.326542611794042,1.947082499222517,2,-69.64804373148095,-81.57826804321874,-91.90735392128184,-97.3891849277374,-91.11234862510942,-92.55960337592599,-95.91173341651296,-92.97845601851088,-97.45813754084635,-95.8521607622684,-99.14518105986095
20,0.761364481621077,2.698553152858197,3,-64.42463921377524,-81.87115107707811,-92.15780098139807,-99.7382375295174,-89.11886166618731,-92.03556438515153,-98.07231834685055,-93.15517043955754,-93.23152112636737,-97.4817837796637,-99.44567302684544
21,0.46201752430346243,2.2071523251755014,3,-70.72056044417928,-85.24408171595756,-91.51137558951046,-96.28736848810628,-86.25561080472973,-94.81426894575404,-94.03293730089894,-90.43370508524649,-92.30385572695232,-98.90285209098101,-103.03753772181965
22,0.35837842175395485,2.013435769845113,3,-66.79215509070558,-87.88063084240456,-95.65202687780659,-96.27562639368523,-87.61884947090871,-91.92553892287447,-98.00875253647219,-94.93568100850484,-92.92208541722043,-97.39501794179607,-103.19264988101258
